"field_identifier","title","field_title","field_filepath","field_image_dirname","field_rights","field_abstract","field_contributor","field_publisher","field_weight"
"LAJ_001","第1図: カガミ（鏡）の-G-の音","第1図: カガミ（鏡）の-G-の音","LAJ_001.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",1
"LAJ_002","第2図: カゲ（蔭）の-G-の音","第2図: カゲ（蔭）の-G-の音","LAJ_002.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",2
"LAJ_003","第3図: カジ（火事）のKA-の音","第3図: カジ（火事）のKA-の音","LAJ_003.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",3
"LAJ_004","第4図: スイカ（西瓜）の-KAの音","第4図: スイカ（西瓜）の-KAの音","LAJ_004.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",4
"LAJ_005","第5図: ガンジツ（元日）のGA-の音","第5図: ガンジツ（元日）のGA-の音","LAJ_005.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",5
"LAJ_006","第6図: ショオガツ（正月）の-GA-の音","第6図: ショオガツ（正月）の-GA-の音","LAJ_006.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",6
"LAJ_007","第7図: セナカ（背中）のSE-の音","第7図: セナカ（背中）のSE-の音","LAJ_007.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",7
"LAJ_008","第8図: アセ（汗）の-SEの音","第8図: アセ（汗）の-SEの音","LAJ_008.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",8
"LAJ_009","第9図: ゼイキン（税金）のZEI-の音","第9図: ゼイキン（税金）のZEI-の音","LAJ_009.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",9
"LAJ_010","第10図: カゼ（風）の-ZEの音","第10図: カゼ（風）の-ZEの音","LAJ_010.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",10
"LAJ_011","第11図: ヒガシ（東）のHI-の音","第11図: ヒガシ（東）のHI-の音","LAJ_011.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",11
"LAJ_012","第12図: ヒゲ（鬚）のHI-の音","第12図: ヒゲ（鬚）のHI-の音","LAJ_012.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",12
"LAJ_013","第13図: ヒガシ（東）の-SIの音","第13図: ヒガシ（東）の-SIの音","LAJ_013.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",13
"LAJ_014","第14図: シチガツ（七月）のSI-の音","第14図: シチガツ（七月）のSI-の音","LAJ_014.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",14
"LAJ_015","第15図: カジ（火事）の-ZIの音","第15図: カジ（火事）の-ZIの音","LAJ_015.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",15
"LAJ_016","第16図: シチガツ（七月）の-TI-の音","第16図: シチガツ（七月）の-TI-の音","LAJ_016.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",16
"LAJ_017","第17図: おおきい（大きい）","第17図: おおきい（大きい）","LAJ_017.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",17
"LAJ_018","第18図: おおきい（大きい）―オオキイ類の詳細図","第18図: おおきい（大きい）―オオキイ類の詳細図","LAJ_018.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",18
"LAJ_019","第19図: おおきい（大きい）―デカイ・イカイ類の詳細図","第19図: おおきい（大きい）―デカイ・イカイ類の詳細図","LAJ_019.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",19
"LAJ_020","第20図: ふとい（太い）","第20図: ふとい（太い）","LAJ_020.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",20
"LAJ_021","第21図: あらい（粗い）","第21図: あらい（粗い）","LAJ_021.tif","laj_map","public domain","『日本言語地図』第1集 / 1966年刊（縮刷版1981年刊）","国立国語研究所","大蔵省印刷局",21
