#,LJCカードID,jpegファイル名,カード番号,質問番号,地図番号,項目名,LJC_ID
1,LJC00101,LJC00101.jpg,1-1,280,1,カガミ (鏡),LJC-M001Q280
2,LJC00102,LJC00102.jpg,1-2,280,1,カガミ (鏡),LJC-M001Q280
3,LJC00103,LJC00103.jpg,1-3,280,1,カガミ (鏡),LJC-M001Q280
4,LJC00104,LJC00104.jpg,1-4,280,1,カガミ (鏡),LJC-M001Q280
5,LJC00105,LJC00105.jpg,1-5,280,1,カガミ (鏡),LJC-M001Q280
6,LJC00106,LJC00106.jpg,1-6,280,1,カガミ (鏡),LJC-M001Q280
7,LJC00107,LJC00107.jpg,1-7,280,1,カガミ (鏡),LJC-M001Q280
8,LJC00108,LJC00108.jpg,1-8,280,1,カガミ (鏡),LJC-M001Q280
9,LJC00109,LJC00109.jpg,1-9,280,1,カガミ (鏡),LJC-M001Q280
10,LJC00110,LJC00110.jpg,1-10,279,2,カゲ (蔭),LJC-M002Q279
11,LJC00111,LJC00111.jpg,1-11,279,2,カゲ (蔭),LJC-M002Q279
12,LJC00112,LJC00112.jpg,1-12,279,2,カゲ (蔭),LJC-M002Q279
13,LJC00113,LJC00113.jpg,1-13,279,2,カゲ (蔭),LJC-M002Q279
14,LJC00114,LJC00114.jpg,1-14,279,2,カゲ (蔭),LJC-M002Q279
15,LJC00115,LJC00115.jpg,1-15,279,2,カゲ (蔭),LJC-M002Q279
16,LJC00116,LJC00116.jpg,1-16,279,2,カゲ (蔭),LJC-M002Q279
17,LJC00117,LJC00117.jpg,1-17,279,2,カゲ (蔭),LJC-M002Q279
18,LJC00118,LJC00118.jpg,1-18,279,2,カゲ (蔭),LJC-M002Q279
19,LJC00119,LJC00119.jpg,1-19,279,2,カゲ (蔭),LJC-M002Q279
20,LJC00120,LJC00120.jpg,1-20,279,2,カゲ (蔭),LJC-M002Q279
21,LJC00121,LJC00121.jpg,1-21,277,"003, 015",カジ (火事),LJC-M003Q277
22,LJC00122,LJC00122.jpg,1-22,277,"003, 015",カジ (火事),LJC-M003Q277
23,LJC00123,LJC00123.jpg,1-23,277,"003, 015",カジ (火事),LJC-M003Q277
24,LJC00124,LJC00124.jpg,1-24,277,"003, 015",カジ (火事),LJC-M003Q277
25,LJC00125,LJC00125.jpg,1-25,277,"003, 015",カジ (火事),LJC-M003Q277
26,LJC00126,LJC00126.jpg,1-26,277,"003, 015",カジ (火事),LJC-M003Q277
27,LJC00127,LJC00127.jpg,1-27,277,"003, 015",カジ (火事),LJC-M003Q277
28,LJC00128,LJC00128.jpg,1-28,277,"003, 015",カジ (火事),LJC-M003Q277
29,LJC00129,LJC00129.jpg,1-29,277,"003, 015",カジ (火事),LJC-M003Q277
30,LJC00130,LJC00130.jpg,1-30,277,"003, 015",カジ (火事),LJC-M003Q277
31,LJC00131,LJC00131.jpg,1-31,277,"003, 015",カジ (火事),LJC-M003Q277
32,LJC00132,LJC00132.jpg,1-32,277,"003, 015",カジ (火事),LJC-M003Q277
33,LJC00133,LJC00133.jpg,1-33,277,"003, 015",カジ (火事),LJC-M003Q277
34,LJC00134,LJC00134.jpg,1-34,277,"003, 015",カジ (火事),LJC-M003Q277
35,LJC00135,LJC00135.jpg,1-35,277,"003, 015",カジ (火事),LJC-M003Q277
36,LJC00136,LJC00136.jpg,1-36,281,4,スイカ (西瓜),LJC-M004Q281
37,LJC00137,LJC00137.jpg,1-37,281,4,スイカ (西瓜),LJC-M004Q281
38,LJC00138,LJC00138.jpg,1-38,281,4,スイカ (西瓜),LJC-M004Q281
39,LJC00139,LJC00139.jpg,1-39,281,4,スイカ (西瓜),LJC-M004Q281
40,LJC00140,LJC00140.jpg,1-40,281,4,スイカ (西瓜),LJC-M004Q281
41,LJC00141,LJC00141.jpg,1-41,281,4,スイカ (西瓜),LJC-M004Q281
42,LJC00142,LJC00142.jpg,1-42,281,4,スイカ (西瓜),LJC-M004Q281
43,LJC00143,LJC00143.jpg,1-43,281,4,スイカ (西瓜),LJC-M004Q281
44,LJC00144,LJC00144.jpg,1-44,281,4,スイカ (西瓜),LJC-M004Q281
45,LJC00145,LJC00145.jpg,1-45,281,4,スイカ (西瓜),LJC-M004Q281
46,LJC00146,LJC00146.jpg,1-46,281,4,スイカ (西瓜),LJC-M004Q281
47,LJC00147,LJC00147.jpg,1-47,281,4,スイカ (西瓜),LJC-M004Q281
48,LJC00148,LJC00148.jpg,1-48,281,4,スイカ (西瓜),LJC-M004Q281
49,LJC00149,LJC00149.jpg,1-49,281,4,スイカ (西瓜),LJC-M004Q281
50,LJC00150,LJC00150.jpg,1-50,275,5,ガンジツ (元日),LJC-M005Q275
51,LJC00151,LJC00151.jpg,1-51,275,5,ガンジツ (元日),LJC-M005Q275
52,LJC00152,LJC00152.jpg,1-52,275,5,ガンジツ (元日),LJC-M005Q275
53,LJC00153,LJC00153.jpg,1-53,275,5,ガンジツ (元日),LJC-M005Q275
54,LJC00154,LJC00154.jpg,1-54,275,5,ガンジツ (元日),LJC-M005Q275
55,LJC00155,LJC00155.jpg,1-55,275,5,ガンジツ (元日),LJC-M005Q275
56,LJC00156,LJC00156.jpg,1-56,275,5,ガンジツ (元日),LJC-M005Q275
57,LJC00157,LJC00157.jpg,1-57,275,5,ガンジツ (元日),LJC-M005Q275
