調査地点番号	調査地点都道府県名（原表記）	調査地点名（原表記）	調査地点都道府県名	調査地点名	json_result	estimated_long	estimated_lat	level	fullname	note	mesh_lat	mesh_long	mesh_lat_jgd	mesh_long_jgd	メッシュ北西端との距離
0716.46	北海道	稚内市北浜通10丁目	北海道	稚内市北浜通10丁目	"{""matched"": ""北海道稚内市"", ""candidates"": [{""id"": 8608201, ""name"": ""稚内市"", ""x"": 141.67308044433594, ""y"": 45.41567611694336, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:01214A1968/jisx0402:01214/postcode:0970000"", ""fullname"": [""北海道"", ""稚内市""]}]}"	141.673080444336	45.4156761169434	3	北海道 稚内市		452600	1413900	452607.87834	1413846.12885	3.04757106690466
0724.12	北海道	礼文郡礼文町香深字トンナイ	北海道	礼文郡礼文町香深字トンナイ	"{""matched"": ""北海道礼文郡礼文町"", ""candidates"": [{""id"": 8596401, ""name"": ""礼文町"", ""x"": 141.04771423339844, ""y"": 45.303062438964844, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:01517A1968/jisx0402:01517/postcode:0971200"", ""fullname"": [""北海道"", ""礼文郡"", ""礼文町""]}]}"	141.047714233398	45.3030624389648	3	北海道 礼文郡 礼文町		451900	1410300	451907.85099	1410246.34553	1.75917077421093
0724.58	北海道	利尻郡東利尻町鴛泊本町	北海道	利尻郡東利尻町鴛泊本町	"{""matched"": ""北海道利尻郡東利尻町"", ""candidates"": [{""id"": 1597566, ""name"": ""東利尻町"", ""x"": 141.2147216796875, ""y"": 45.247459411621094, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:01519A1968/jisx0402:01519"", ""fullname"": [""北海道"", ""利尻郡"", ""東利尻町""]}]}"	141.214721679688	45.2474594116211	3	北海道 利尻郡 東利尻町		451500	1411200	451507.8969	1411146.31896	1.54255941931315
0724.95	北海道	利尻郡利尻町泉町	北海道	利尻郡利尻町泉町	"{""matched"": ""北海道利尻郡利尻町"", ""candidates"": [{""id"": 1586811, ""name"": ""利尻町"", ""x"": 141.1396026611328, ""y"": 45.187042236328125, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:01518A1968/jisx0402:01518/postcode:0970400"", ""fullname"": [""北海道"", ""利尻郡"", ""利尻町""]}]}"	141.139602661133	45.1870422363281	3	北海道 利尻郡 利尻町		451100	1410730	451107.91237	1410716.35253	1.45127873669189
0737.94	北海道	天塩郡幌延町字幌延2条1丁目	北海道	天塩郡幌延町字幌延2条1丁目	"{""matched"": ""北海道天塩郡幌延町字幌延2"", ""candidates"": [{""id"": 2717316, ""name"": ""2番地"", ""x"": 141.81167602539062, ""y"": 45.043846130371094, ""level"": 7, ""priority"": 9, ""note"": """", ""fullname"": [""北海道"", ""天塩郡"", ""幌延町"", ""字幌延"", ""2番地""]}]}"	141.811676025391	45.0438461303711	7	北海道 天塩郡 幌延町 字幌延 2番地		450100	1415100	450108.07827	1415046.15245	3.87666213554855
0747.70	北海道	天塩郡天塩町新栄通り1丁目	北海道	天塩郡天塩町新栄通り1丁目	"{""matched"": ""北海道天塩郡天塩町新栄通り1丁目"", ""candidates"": [{""id"": 2700866, ""name"": ""一丁目"", ""x"": 141.746337890625, ""y"": 44.88058090209961, ""level"": 6, ""priority"": 2, ""note"": ""aza_id:0015001/postcode:0983303"", ""fullname"": [""北海道"", ""天塩郡"", ""天塩町"", ""新栄通"", ""一丁目""]}]}"	141.746337890625	44.8805809020996	6	北海道 天塩郡 天塩町 新栄通 一丁目		445300	1414500	445308.12805	1414446.21759	0.557265487808201
0776.88	北海道	苫前郡羽幌町	北海道	苫前郡羽幌町	"{""matched"": ""北海道苫前郡羽幌町"", ""candidates"": [{""id"": 9442233, ""name"": ""羽幌町"", ""x"": 141.69725036621094, ""y"": 44.36061096191406, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:01484A1968/jisx0402:01484/postcode:0784100"", ""fullname"": [""北海道"", ""苫前郡"", ""羽幌町""]}]}"	141.697250366211	44.3606109619141	3	北海道 苫前郡 羽幌町		442200	1414200	442208.32004	1414146.34723	0.9340345163462
0779.03	北海道	中川郡美深町字敷島	北海道	中川郡美深町字敷島	"{""matched"": ""北海道中川郡美深町字敷島"", ""candidates"": [{""id"": 854140, ""name"": ""字敷島"", ""x"": 142.3501739501953, ""y"": 44.49618911743164, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0012000/postcode:0982214"", ""fullname"": [""北海道"", ""中川郡"", ""美深町"", ""字敷島""]}]}"	142.350173950195	44.4961891174316	5	北海道 中川郡 美深町 字敷島		443000	1421930	443008.35149	1421916.11038	2.40136161477991
0789.95	北海道	士別市東1条7丁目	北海道	士別市東1条7丁目	"{""matched"": ""北海道士別市東1条7丁目"", ""candidates"": [{""id"": 2507936, ""name"": ""七丁目"", ""x"": 142.39498901367188, ""y"": 44.17497253417969, ""level"": 6, ""priority"": 2, ""note"": ""aza_id:0030007/postcode:0950011"", ""fullname"": [""北海道"", ""士別市"", ""東一条"", ""七丁目""]}]}"	142.394989013672	44.1749725341797	6	北海道 士別市 東一条 七丁目		441100	1422230	441108.48348	1422216.16941	2.24310484315284
0840.33	北海道	枝幸郡枝幸町梅ケ枝町	北海道	枝幸郡枝幸町梅ケ枝町	"{""matched"": ""北海道枝幸郡枝幸町梅ケ枝町"", ""candidates"": [{""id"": 6906628, ""name"": ""梅ヶ枝町"", ""x"": 142.58306884765625, ""y"": 44.93766403198242, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0018000/postcode:0985806"", ""fullname"": [""北海道"", ""枝幸郡"", ""枝幸町"", ""梅ヶ枝町""]}]}"	142.583068847656	44.9376640319824	5	北海道 枝幸郡 枝幸町 梅ヶ枝町		445700	1423430	445708.19947	1423415.92464	1.87863273961002
0861.48	北海道	紋別郡雄武町字雄武市街地基線中通り	北海道	紋別郡雄武町字雄武市街地基線中通り	"{""matched"": ""北海道紋別郡雄武町字雄武市"", ""candidates"": [{""id"": 9061304, ""name"": ""字雄武"", ""x"": 142.95181274414062, ""y"": 44.58480453491211, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0012000/postcode:0981702"", ""fullname"": [""北海道"", ""紋別郡"", ""雄武町"", ""字雄武""]}, {""id"": 9067012, ""name"": ""雄武"", ""x"": 142.96392822265625, ""y"": 44.58403015136719, ""level"": 6, ""priority"": 9, ""note"": ""aza_id:0000120/postcode:0981702"", ""fullname"": [""北海道"", ""紋別郡"", ""雄武町"", ""雄武""]}]}"	142.951812744141	44.5848045349121	5	北海道 紋別郡 雄武町 字雄武		443600	1425700	443608.378	1425645.897	2.00056742472915
0873.94	北海道	中川郡本別町大字本別村字北4丁目	北海道	中川郡本別町大字本別村字北4丁目	"{""matched"": ""北海道中川郡本別町"", ""candidates"": [{""id"": 757468, ""name"": ""本別町"", ""x"": 143.6109619140625, ""y"": 43.12461471557617, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:01646A1968/jisx0402:01646/postcode:0893300"", ""fullname"": [""北海道"", ""中川郡"", ""本別町""]}]}"	143.610961914063	43.1246147155762	3	北海道 中川郡 本別町		442100	1432100	442108.54199	1432045.84337	138.168970178651
